panel_id,split_id,seed,canonical_structure_group_id,canonical_smiles,source_domain,target_quantile_bin,assignment
seed41_independent_panel,1,41,E00_133_00001,BrCCCCCCCCCCCCOc1cc2ccc3cccc4ccc(c1)c2c34,general_only,8,test
seed41_independent_panel,1,41,E00_133_00002,Brc1ccc(Nc2ccc3ccccc3n2)cc1,general_only,9,test
seed41_independent_panel,1,41,E00_133_00003,C#CC1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,general_only,9,train
seed41_independent_panel,1,41,E00_133_00004,C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,general_only,4,train
seed41_independent_panel,1,41,E00_133_00005,C#CCOc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)cc(-c5ccc(O)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,general_only,0,train
seed41_independent_panel,1,41,E00_133_00006,C(#Cc1cc2ccc3cc(C#Cc4ccccc4)cc4ccc(c1)c2c34)c1ccccc1,general_only,6,train
seed41_independent_panel,1,41,E00_133_00007,C(#Cc1cc2ccc3cccc4ccc(c1)c2c34)c1ccccc1,general_only,8,train
seed41_independent_panel,1,41,E00_133_00008,C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,general_only,9,train
seed41_independent_panel,1,41,E00_133_00009,C(#Cc1ccc(N(c2ccc(C#Cc3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)c4)cc3)cc2)c2ccc(C#Cc3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)c4)cc3)cc2)cc1)c1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,general_only,7,train
seed41_independent_panel,1,41,E00_133_00010,C(#Cc1ccc2ccc3cccc4ccc1c2c34)c1ccccc1,general_only,8,train
seed41_independent_panel,1,41,E00_133_00011,C(#Cc1ccc2ncsc2c1)c1ccc(N(c2ccc(C#Cc3ccc4ncsc4c3)cc2)c2ccc(C#Cc3ccc4ncsc4c3)cc2)cc1,general_only,7,train
seed41_independent_panel,1,41,E00_133_00012,C(#Cc1ccc2ncsc2c1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,general_only,8,train
seed41_independent_panel,1,41,E00_133_00013,C(#Cc1cccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,general_only,9,test
seed41_independent_panel,1,41,E00_133_00014,C(#Cc1nc2ccccc2s1)c1ccc(N(c2ccc(C#Cc3nc4ccccc4s3)cc2)c2ccc(C#Cc3nc4ccccc4s3)cc2)cc1,general_only,6,train
seed41_independent_panel,1,41,E00_133_00015,C(#Cc1nc2ccccc2s1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,general_only,6,train
seed41_independent_panel,1,41,E00_133_00016,C(=C/c1cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,general_only,9,train
seed41_independent_panel,1,41,E00_133_00017,C(=C/c1ccc(-c2ccc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)s2)s1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,general_only,3,train
seed41_independent_panel,1,41,E00_133_00018,C(=C/c1ccc(-c2nnc(-c3ccc(/C=C/c4ccc(-c5nc(-c6ccccc6)c(-c6ccccc6)[nH]5)cc4)cc3)o2)cc1)\c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1,general_only,6,train
seed41_independent_panel,1,41,E00_133_00019,C(=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)\c1ccc(-c2ccc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)cc1,general_only,8,train
seed41_independent_panel,1,41,E00_133_00020,C(=C/c1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,general_only,1,test
seed41_independent_panel,1,41,E00_133_00021,C(=C/c1ccc(N(c2ccc(/C=C/c3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)c4)cc3)cc2)c2ccc(/C=C/c3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)c4)cc3)cc2)cc1)\c1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,general_only,5,train
seed41_independent_panel,1,41,E00_133_00022,C(=C/c1ccc(N(c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(-c3nc4ccccc4nc3-c3ccc(N(c4ccc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)c4ccc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)cc3)cc2)cc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,general_only,5,train
seed41_independent_panel,1,41,E00_133_00023,C(=C/c1ccc(N(c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(/C=C/c3ccc(/C=C/c4ccc(N(c5ccc(/C=C/c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)c5ccc(/C=C/c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)cc4)c4nsnc34)cc2)cc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,general_only,1,train
seed41_independent_panel,1,41,E00_133_00024,C(=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)\c1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,general_only,5,train
seed41_independent_panel,1,41,E00_133_00025,C(=C/c1ccccn1)\c1ccc(N(c2ccc(/C=C/c3ccccn3)cc2)c2ccc(-c3nc4ccccc4nc3-c3ccc(N(c4ccc(/C=C/c5ccccn5)cc4)c4ccc(/C=C/c5ccccn5)cc4)cc3)cc2)cc1,general_only,5,train
seed41_independent_panel,1,41,E00_133_00026,C(=C/c1nc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)nc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)n1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,general_only,6,test
seed41_independent_panel,1,41,E00_133_00027,C1=C(c2ccccc2)C2=Nc3c(-c4ccccc4)cc4n3[B-]3(Oc5ccccc5C1=[N+]23)Oc1ccccc1-4,general_only,0,test
seed41_independent_panel,1,41,E00_133_00028,C1=CSC(=C2SC=C(/C=C/C=C/C=C/C3=CSC(=C4SC=CS4)S3)S2)S1,general_only,1,test
seed41_independent_panel,1,41,E00_133_00029,C1=Nc2cccc3cccc(c23)N1,general_only,8,test
seed41_independent_panel,1,41,E00_133_00030,C1=[N+](c2ccccc2)[B-](c2ccccc2)(c2ccccc2)Oc2c1ccc1c3c(ccc21)C=[N+](c1ccccc1)[B-](c1ccccc1)(c1ccccc1)O3,general_only,1,train
seed41_independent_panel,1,41,E00_133_00031,C1=[N+](c2ccccc2)[B-]2(Oc3c1ccc1c4c(ccc31)C=[N+](c1ccccc1)[B-]1(O4)c3ccccc3Oc3ccccc31)c1ccccc1Oc1ccccc12,general_only,1,test
seed41_independent_panel,1,41,E00_133_00032,C=CC1CN2CCC1CC2[C@@H](OCc1ccccc1)c1ccnc2ccc(O)cc12,general_only,9,train
seed41_independent_panel,1,41,E00_133_00033,C=CCOC(=O)C(C#N)=C1C=C(/C=C/c2ccc(N(C)C)cc2)OC(/C=C/c2ccc(N(C)C)cc2)=C1,general_only,2,train
seed41_independent_panel,1,41,E00_133_00034,C=Cc1ccc(-c2ccc(-c3nnc(-c4ccc(-c5nnc(-c6ccc(-c7ccc(C=C)cc7)s6)o5)cc4)o3)s2)cc1,general_only,9,train
seed41_independent_panel,1,41,E00_133_00035,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,general_only,4,train
seed41_independent_panel,1,41,E00_133_00036,CC(=O)Nc1ccc(S(=O)(=O)O)c(/N=N/c2c(O)c3ccccc3n(C)c2=O)c1,general_only,3,train
seed41_independent_panel,1,41,E00_133_00037,CC(=O)Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,general_only,4,test
seed41_independent_panel,1,41,E00_133_00038,CC(=O)Nc1ccccc1C(=O)OC1CC(C)CCC1C(C)C,general_only,9,test
seed41_independent_panel,1,41,E00_133_00039,CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1,general_only,3,train
seed41_independent_panel,1,41,E00_133_00040,CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,general_only,4,train
seed41_independent_panel,1,41,E00_133_00041,CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1,general_only,2,train
seed41_independent_panel,1,41,E00_133_00042,CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1,general_only,5,train
seed41_independent_panel,1,41,E00_133_00043,CC(=O)c1c2c(cc3c(N(C)C)cccc13)CCC2,general_only,7,train
seed41_independent_panel,1,41,E00_133_00044,CC(=O)c1c2c(cc3cc(N(C)C)ccc13)CCC2,general_only,6,train
seed41_independent_panel,1,41,E00_133_00045,CC(=O)c1c2c(cc3ccc(N(C)C)cc13)CCC2,general_only,6,train
seed41_independent_panel,1,41,E00_133_00046,CC(=O)c1ccc(-c2cc3c4c(c2)-n2c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)cc(c52)B4c2cc(C(C)(C)C)cc4c5cc(C(C)(C)C)ccc5n-3c24)cc1,MR_TADF_only,3,test
seed41_independent_panel,1,41,E00_133_00047,CC(=O)c1ccc2ccc3cccc4ccc1c2c34,general_only,8,test
seed41_independent_panel,1,41,E00_133_00048,CC(C)(C(=O)c1ccc(N2c3ccccc3C(C)(C)c3ccccc32)cc1)C(=O)c1ccc(N2c3ccccc3C(C)(C)c3ccccc32)cc1,general_only,5,train
seed41_independent_panel,1,41,E00_133_00049,CC(C)(C(=O)c1ccc(N2c3ccccc3Oc3ccccc32)cc1)C(=O)c1ccc(N2c3ccccc3Oc3ccccc32)cc1,general_only,3,train
seed41_independent_panel,1,41,E00_133_00050,CC(C)(C)c1cc(-c2c3cccc4c5cccc6c(-c7cc(C(C)(C)C)cc(C(C)(C)C)c7)c7cccc8c9cccc2c9c(c34)c(c65)c78)cc(C(C)(C)C)c1,general_only,0,train
seed41_independent_panel,1,41,E00_133_00051,CC(C)(C)c1cc(-c2cc3c4c(c2)-n2c5ccccc5c5c6c7c(c(c52)B4c2cc(C(C)(C)C)cc4c5cc(C(C)(C)C)ccc5n-3c24)C2CC=CC=C2N7c2cccc3cccc-6c23)cc(C(C)(C)C)c1,MR_TADF_only,0,train
seed41_independent_panel,1,41,E00_133_00052,CC(C)(C)c1cc(C(C)(C)C)c(-c2nnc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)o2)c(C(C)(C)C)c1,general_only,9,train
seed41_independent_panel,1,41,E00_133_00053,CC(C)(C)c1cc(C(C)(C)C)cc(C2(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)c3ccccc3N3c4cccc5c4B(c4cccc6c4N5c4cc(C(C)(C)C)cc5c7cc(C(C)(C)C)ccc7n-6c45)c4cccc2c43)c1,MR_TADF_only,2,train
seed41_independent_panel,1,41,E00_133_00054,CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[B-](F)(F)[n+]1c-2[nH]c(=O)c2ccccc21,general_only,7,train
seed41_independent_panel,1,41,E00_133_00055,CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[B-](F)(F)[n+]1c-2nc(-c2ccccc2)c2cc(Cl)ccc21,general_only,3,train
seed41_independent_panel,1,41,E00_133_00056,CC(C)(C)c1cc2c(c(C(C)(C)C)c1)O[B-](F)(F)[n+]1c-2nc(-c2ccccc2)c2ccccc21,general_only,3,train
seed41_independent_panel,1,41,E00_133_00057,CC(C)(C)c1cc2ccc3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc4c5nc6cc(C#N)c(C#N)cc6nc5c(c1)c2c34,general_only,1,train
seed41_independent_panel,1,41,E00_133_00058,CC(C)(C)c1ccc(-c2c3ccccc3c3n2[B-](F)(F)[N+]2=Cc4c5ccccc5c(-c5ccc(C(C)(C)C)cc5)n4[B-](F)(F)[N+]2=C3)cc1,general_only,1,test
seed41_independent_panel,1,41,E00_133_00059,CC(C)(C)c1ccc(-c2ccc3c(c2)c2cc(-c4ccc(C(C)(C)C)cc4)cc4c2n3-c2cccc3c2B4c2cccc4c2N3c2ccccc2-c2ccccc2-4)cc1,MR_TADF_only,3,train
seed41_independent_panel,1,41,E00_133_00060,CC(C)(C)c1ccc(-c2ccc3c4ccc(-c5ccc(C(C)(C)C)cc5)c5c4n(c3c2)-c2cccc3c2B5c2c(-c4ccc(C(C)(C)C)cc4)ccc4c5ccc(-c6ccc(C(C)(C)C)cc6)cc5n-3c24)cc1,MR_TADF_only,3,train
seed41_independent_panel,1,41,E00_133_00061,CC(C)(C)c1ccc(-c2nc3c4ccc(-c5c6ccccc6cc6ccccc56)cc4c4cc(-c5c6ccccc6cc6ccccc56)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,general_only,7,train
seed41_independent_panel,1,41,E00_133_00062,CC(C)(C)c1ccc(-c2nc3c4ccc(-c5cc6ccccc6c6ccccc56)cc4c4cc(-c5cc6ccccc6c6ccccc56)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,general_only,9,train
seed41_independent_panel,1,41,E00_133_00063,CC(C)(C)c1ccc(-c2nc3c4ccc(-c5ccc6ccc7cccc8ccc5c6c78)cc4c4cc(-c5ccc6ccc7cccc8ccc5c6c78)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,general_only,8,train
seed41_independent_panel,1,41,E00_133_00064,CC(C)(C)c1ccc(-c2nc3c4ccc(-c5ccc6ccccc6c5)cc4c4cc(-c5ccc6ccccc6c5)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,general_only,9,test
seed41_independent_panel,1,41,E00_133_00065,CC(C)(C)c1ccc(-c2nc3c4ccc(-c5cccc6ccccc56)cc4c4cc(-c5cccc6ccccc56)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,general_only,9,train
seed41_independent_panel,1,41,E00_133_00066,CC(C)(C)c1ccc(-c2nc3c4ccc(-c5ccccc5)cc4c4cc(-c5ccccc5)ccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,general_only,9,test
seed41_independent_panel,1,41,E00_133_00067,CC(C)(C)c1ccc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,general_only,9,train
seed41_independent_panel,1,41,E00_133_00068,CC(C)(C)c1ccc(-c2nc3ccccc3nc2-c2cc(-c3nc4ccccc4nc3-c3ccc(C(C)(C)C)cc3)cc(-n3c4ccccc4c4ccccc43)c2)cc1,general_only,8,train
seed41_independent_panel,1,41,E00_133_00069,CC(C)(C)c1ccc(-c2nnc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-c4nnc(-c5ccc(C(C)(C)C)cc5)o4)c(-n4c5ccccc5c5ccccc54)c3-n3c4ccccc4c4ccccc43)o2)cc1,general_only,4,train
seed41_independent_panel,1,41,E00_133_00070,CC(C)(C)c1ccc(-c2nnc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3-n3c4ccccc4c4ccccc43)o2)cc1,general_only,8,train
seed41_independent_panel,1,41,E00_133_00071,CC(C)(C)c1ccc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc1,general_only,6,train
